label	substack_slug
Animals	animals
Business/Nonprofits	businessnonprofits
Collaboration	collaboration
Culture/Religion/Inspiration	culturereligioninspiration
Death & Dying	death-and-dying
Education	education
Food/Recipes/Holidays	foodrecipesholidays
Friends & Family	friends-and-family
Fuller Family	fuller-family
Government/Politics/Econ	governmentpoliticsecon
Hobbies/Exercise/Sports	hobbiesexercisesports
Leadership	leadership
Networks & Networking	networks-and-networking
OrgScope	orgscope
Publishing/Writing	publishingwriting
Science/Medicine/Climate	sciencemedicineclimate
Travel	travel
Violence	violence
Virtual/Remote Work	virtualremote-work
Web/Tech	webtech
Women	women